Istanti con almeno un valore watt > 10000 W
IMEI: 86684007269887
Totale record anomali: 94
======================================================================
Data/Ora (UTC)               w_min    w_max  w_medio
----------------------------------------------------------------------
2025-11-13 18:34:00             70    56281      138
2025-11-14 07:15:00            144    44231      285
2025-11-14 08:59:00              1    52733       39
2025-11-14 09:00:00            150    63015     7671
2025-11-14 09:01:00            286    65463    14755
2025-11-14 09:02:00            155    65102     7022
2025-11-14 09:03:00            150    64462     2982
2025-11-14 09:04:00            114    65354     6085
2025-11-14 09:05:00             63    61344     1010
2025-11-14 11:37:00             85    64462      917
2025-11-14 13:06:00             89    46608      176
2025-11-14 14:07:00            883    65391    16876
2025-11-14 14:08:01            119    62548    21467
2025-11-14 14:13:00             16    63083     1209
2025-11-14 14:14:00          25672    65427    48939
2025-11-14 14:15:00          24218    65500    40544
2025-11-14 14:16:00          23884    65463    40302
2025-11-14 14:17:00          14949    65500    40182
2025-11-14 14:18:00            297    65210    23490
2025-11-15 01:15:00             78    25695       78
2025-11-15 07:51:00             66    49091       66
2025-11-15 07:54:00             16    60064       46
2025-11-15 07:57:00             22    65500     2589
2025-11-15 07:58:00            260    65391    20756
2025-11-15 07:59:00            166    65500    27295
2025-11-15 08:03:00             14    62087     1142
2025-11-15 08:04:00           1159    65500    32264
2025-11-15 08:05:00            443    65066    10609
2025-11-15 08:07:00             84    64923     4782
2025-11-15 08:18:00              5    48867      172
2025-11-15 08:19:00           4740    65427    26961
2025-11-15 08:20:01            416    65463    30574
2025-11-15 08:21:00            140    61665     1730
2025-11-15 13:56:00             98    19997      400
2025-11-15 14:15:00              3    26503       31
2025-11-15 14:16:00           1311    65463    35787
2025-11-15 14:17:00             96    65210     4853
2025-11-16 08:58:00            726    31891     4950
2025-11-16 08:59:00           2480    64532    10761
2025-11-16 09:00:00           2342    65282    11369
2025-11-16 09:01:00            713    63868    10778
2025-11-16 09:02:00            384    65427     9353
2025-11-16 09:03:01            901    65318    18823
2025-11-16 09:03:59            615    65500    34478
2025-11-16 09:05:00           9973    65500    41599
2025-11-16 09:06:00            520    65318    21404
2025-11-16 09:07:00            144    62283     8137
2025-11-16 09:31:00              3    50027        7
2025-11-16 10:02:00              9    59578       17
2025-11-16 10:10:00              7    18802       14
2025-11-16 10:19:00              6    27921       13
2025-11-16 10:39:00              5    64923      820
2025-11-16 10:40:00            155    64816    18237
2025-11-16 11:05:00              2    64391       50
2025-11-16 11:33:00              2    32488        6
2025-11-17 07:36:00           1229    53499     7624
2025-11-17 07:37:00            382    64887     2598
2025-11-17 07:38:00            180    33465      420
2025-11-17 07:39:00            277    58054      794
2025-11-17 07:40:00            424    65246     6727
2025-11-17 07:41:00             67    65500     5097
2025-11-17 08:11:00              2    34064       52
2025-11-17 08:12:00           1503    65210    24438
2025-11-17 08:13:00            126    65463    20373
2025-11-17 08:14:00            125    36386      447
2025-11-17 08:59:00              1    65102       60
2025-11-17 09:01:00            156    57348     6550
2025-11-17 09:02:00            366    65318    24712
2025-11-17 09:03:00            106    64887     6175
2025-11-17 09:29:00              2    34788       31
2025-11-17 09:30:00           3850    65500    36867
2025-11-17 09:31:16            640    65391    27033
2025-11-17 09:32:00            721    65318    37176
2025-11-17 09:33:00            448    65066    12826
2025-11-17 09:34:00            755    64923     7191
2025-11-17 09:35:00           4502    64780    30520
2025-11-17 09:36:00            898    63422    28736
2025-11-17 11:59:00            905    65246    26107
2025-11-17 12:00:00             99    61472     7379
2025-11-17 15:21:00            250    65066    24232
2025-11-17 15:22:00             96    64994     9774
2025-11-18 07:26:00              2    65463       52
2025-11-18 07:27:00            451    65427    29513
2025-11-18 07:28:00            115    65318     5457
2025-11-18 07:29:00             99    65210     4538
2025-11-18 08:16:00            204    30498     1286
2025-11-18 08:17:00           1006    54867    15290
2025-11-18 08:17:59            171    65066    17334
2025-11-18 08:19:00            360    48031     5691
2025-11-18 08:20:00           3579    64076    19508
2025-11-18 08:21:00            185    65174     8039
2025-11-27 07:24:07           4237    57320     4237
2026-02-01 11:22:00            449    48786      722
2026-02-01 12:05:00            416    61729     1119
