file,total_records,valid_records,invalid_records,start_utc,end_utc,w_medio_min,w_medio_mean,w_medio_median,w_medio_max,unique_granularities,top_spikes_values,top_spikes_epochs_utc
iot_devices.86684007269866.json,120951,120951,0,2025-11-13T07:28:01Z,2026-02-05T11:47:00Z,0.0,164.58125191193128,117.0,5443.0,1|2|3|4|5|6|8|17|24|43|56|58|59|60|61,"36263,5523,5458,5456,4657","2025-12-31T18:38:00Z,2026-01-11T10:45:01Z,2026-01-11T10:46:01Z,2026-01-11T10:45:59Z,2026-01-11T12:05:00Z"
iot_devices.86684007269869.json,18468,18468,0,2025-11-13T15:01:02Z,2026-02-05T14:43:00Z,0.0,561.4603638726446,13.0,44995.0,1|2|3|5|15|49|50|57|58|59|60|61,"65500,65500,65500,65500,65500","2025-11-14T14:05:00Z,2025-11-15T08:05:00Z,2025-11-15T14:16:00Z,2025-11-17T07:37:00Z,2025-11-17T08:14:01Z"
iot_devices.86684007269887.json,109118,109118,0,2025-11-13T15:02:01Z,2026-02-06T07:20:00Z,0.0,290.83984310562874,232.0,48939.0,1|2|3|4|16|20|34|44|52|57|58|59|60|61,"65500,65500,65500,65500,65500","2025-11-14T14:15:00Z,2025-11-14T14:17:00Z,2025-11-15T07:57:00Z,2025-11-15T07:59:00Z,2025-11-15T08:04:00Z"
iot_devices.86684007269888.json,46391,46391,0,2025-11-07T16:15:00Z,2026-02-05T12:51:00Z,0.0,194.6271690629648,25.0,51801.0,1|2|3|4|16|17|24|29|49|51|58|59|60|61,"65500,65500,65500,65500,65500","2025-11-20T09:07:00Z,2025-11-20T09:44:00Z,2025-11-20T10:38:00Z,2025-11-20T10:39:00Z,2025-11-20T11:21:00Z"
iot_devices.86684007269889.json,60940,60940,0,2025-11-10T15:28:00Z,2026-02-05T14:08:00Z,13.0,493.15292090580897,234.0,6794.0,1|2|3|4|5|6|7|9|11|12|13|14|15|16|17|19|21|22|34|35|39|41|42|43|44|45|49|50|51|52|53|54|55|56|57|58|59|60|61|62,"65391,65210,65174,65102,64994","2025-12-25T17:05:00Z,2025-12-26T04:35:00Z,2025-12-25T20:05:00Z,2025-12-25T19:35:00Z,2025-12-25T16:35:00Z"
iot_devices.86853106210447.json,10562,10562,0,2025-11-13T15:01:00Z,2026-02-06T04:44:00Z,0.0,838.8747396326453,0.0,40765.0,1|2|6|8|11|42|59|60|61,"65500,65500,65463,65463,65463","2025-11-17T11:56:00Z,2025-11-18T07:32:00Z,2025-11-15T08:20:00Z,2025-11-15T13:55:00Z,2025-11-17T11:57:00Z"
iot_devices.86853106211162.json,120951,120951,0,2025-11-13T15:42:01Z,2026-02-05T14:05:00Z,0.0,217.91736322973767,117.0,5792.0,1|2|3|4|5|6|56|57|58|59|60|61,"6233,6197,6191,6054,5746","2025-11-15T12:38:59Z,2025-12-24T12:04:00Z,2025-12-24T12:05:00Z,2025-11-15T12:38:00Z,2025-12-10T09:20:00Z"
iot_devices.86853106211166.json,26696,26696,0,2025-11-13T15:03:00Z,2026-02-06T08:26:00Z,0.0,826.3570946958346,130.0,34736.0,1|2|3|4|55|57|58|59|60|61,"65500,65500,65500,65500,65500","2025-11-14T14:30:00Z,2025-11-15T14:18:00Z,2025-11-16T08:54:00Z,2025-11-16T10:42:00Z,2025-11-17T08:07:00Z"
iot_devices.86853106211173.json,109051,109051,0,2025-11-13T15:46:00Z,2026-02-06T07:18:00Z,0.0,193.25447726293203,124.0,4114.0,1|2|3|4|7|53|59|60|61,"60619,48948,47167,41817,39493","2025-12-14T12:36:00Z,2025-12-26T14:02:00Z,2025-12-15T07:44:00Z,2025-12-25T11:09:00Z,2025-12-19T11:58:00Z"
iot_devices.86853106211179.json,114969,114969,0,2025-11-13T15:01:00Z,2026-02-05T15:16:00Z,0.0,142.45712322452138,77.0,47150.0,1|2|3|4|5|56|58|59|60|61|62,"65500,65500,65500,65500,65500","2025-11-14T09:04:00Z,2025-11-14T14:07:01Z,2025-11-14T14:08:00Z,2025-11-14T14:14:00Z,2025-11-15T08:19:00Z"
