file,total_records,valid_records,w_medio_zero_count,w_medio_zero_frac,w_istantaneo_zero_count,w_istantaneo_zero_frac,w_massimo_zero_count,w_massimo_zero_frac
iot_devices.86684007269866.json,120951,120951,2,1.653562186339923e-05,2,1.653562186339923e-05,2,1.653562186339923e-05
iot_devices.86684007269869.json,18468,18468,6148,0.3329001516136019,6148,0.3329001516136019,6148,0.3329001516136019
iot_devices.86684007269887.json,109118,109118,17423,0.15967118165655528,17423,0.15967118165655528,17423,0.15967118165655528
iot_devices.86684007269888.json,46391,46391,18066,0.389428984070186,18066,0.389428984070186,18066,0.389428984070186
iot_devices.86684007269889.json,60940,60940,0,0.0,0,0.0,0,0.0
iot_devices.86853106210447.json,10562,10562,5738,0.5432683203938647,5738,0.5432683203938647,5738,0.5432683203938647
iot_devices.86853106211162.json,120951,120951,139,0.0011492257195062463,139,0.0011492257195062463,139,0.0011492257195062463
iot_devices.86853106211166.json,26696,26696,6082,0.22782439316751574,6082,0.22782439316751574,6082,0.22782439316751574
iot_devices.86853106211173.json,109051,109051,45740,0.4194367772876911,45740,0.4194367772876911,45740,0.4194367772876911
iot_devices.86853106211179.json,114969,114969,5880,0.05114422148579182,5880,0.05114422148579182,5880,0.05114422148579182
